DatetimeIndex,open,high,low,close
2010-01-04,5200.90,5238.45,5167.10,5232.20
2010-01-05,5277.15,5288.35,5242.40,5277.90
2010-01-06,5278.15,5310.85,5260.05,5281.80
2010-01-07,5281.80,5302.55,5244.75,5263.10
2010-01-08,5264.25,5276.75,5234.70,5244.75
2010-01-11,5263.80,5287.20,5227.80,5249.40
2010-01-12,5251.10,5300.50,5200.95,5210.40
2010-01-13,5212.60,5239.20,5169.55,5233.95
2010-01-14,5234.50,5272.85,5232.50,5259.90
2010-01-15,5259.90,5279.85,5242.45,5252.20
2010-01-18,5253.65,5292.50,5228.95,5274.85
2010-01-19,5274.20,5287.80,5218.65,5225.65
2010-01-20,5226.10,5256.70,5201.40,5221.70
2010-01-21,5220.20,5220.35,5085.45,5094.15
2010-01-22,5094.15,5094.15,4954.85,5036.00
2010-01-25,5034.55,5035.70,4983.05,5007.90
2010-01-27,5008.50,5008.50,4833.05,4853.10
2010-01-28,4863.00,4929.90,4824.95,4867.25
2010-01-29,4866.15,4893.70,4766.00,4882.05
2010-02-01,4882.05,4918.80,4827.15,4899.70
2010-02-02,4907.85,4951.15,4814.10,4830.10
2010-02-03,4831.00,4949.15,4831.00,4931.85
2010-02-04,4931.30,4931.30,4832.35,4845.35
2010-02-05,4819.65,4827.00,4692.35,4718.65
2010-02-06,null,null,null,null
2010-02-08,4755.35,4799.05,4675.40,4760.40
2010-02-09,4760.55,4810.40,4739.35,4792.65
2010-02-10,4793.00,4826.85,4748.10,4757.20
2010-02-11,4757.25,4843.80,4757.25,4826.85
2010-02-15,4827.90,4845.60,4783.90,4801.95
2010-02-16,4801.80,4880.00,4791.35,4855.75
2010-02-17,4858.65,4929.70,4857.60,4914.00
2010-02-18,4915.10,4922.05,4873.70,4887.75
2010-02-19,4887.30,4887.30,4805.55,4844.90
2010-02-22,4849.35,4912.05,4845.90,4856.40
2010-02-23,4856.60,4884.10,4833.15,4870.05
2010-02-24,4869.55,4880.55,4834.65,4858.60
2010-02-25,4859.00,4880.15,4835.60,4859.75
2010-02-26,4858.50,4992.00,4858.45,4922.30
2010-03-02,4935.60,5029.45,4935.35,5017.00
2010-03-03,5015.80,5093.25,5015.10,5088.10
2010-03-04,5096.95,5096.95,5049.00,5080.25
2010-03-05,5080.55,5118.65,5068.05,5088.70
2010-03-08,5092.15,5147.10,5092.15,5124.00
2010-03-09,5121.05,5131.80,5094.35,5101.50
2010-03-10,5101.60,5137.40,5092.05,5116.25
2010-03-11,5116.35,5152.60,5102.10,5133.40
2010-03-12,5131.80,5158.10,5122.10,5137.00
2010-03-15,5134.45,5151.05,5101.20,5128.90
2010-03-16,5128.95,5209.25,5125.70,5198.10
2010-03-17,5198.45,5260.50,5177.15,5231.90
2010-03-18,5232.55,5255.65,5214.40,5245.90
2010-03-19,5246.80,5269.95,5237.10,5262.80
2010-03-22,5260.95,5260.95,5187.05,5205.20
2010-03-23,5205.85,5243.60,5193.40,5225.30
2010-03-25,5225.30,5267.30,5202.95,5260.40
2010-03-26,5260.55,5293.75,5260.55,5282.00
2010-03-29,5283.90,5329.55,5242.15,5302.85
2010-03-30,5302.95,5325.00,5251.35,5262.45
2010-03-31,5260.40,5293.90,5235.15,5249.10
2010-04-01,5249.20,5298.60,5249.20,5290.50
2010-04-05,5291.40,5377.55,5291.40,5368.40
2010-04-06,5369.65,5388.65,5351.70,5366.00
2010-04-07,5365.70,5399.65,5345.05,5374.65
2010-04-08,5376.30,5383.65,5290.25,5304.45
2010-04-09,5302.40,5377.45,5302.25,5361.75
2010-04-12,5354.15,5382.15,5324.90,5339.70
2010-04-13,5340.85,5356.50,5301.70,5322.95
2010-04-15,5323.30,5373.15,5265.30,5273.60
2010-04-16,5273.40,5283.05,5237.55,5262.60
2010-04-19,5279.05,5279.05,5160.90,5203.65
2010-04-20,5208.30,5257.25,5208.30,5230.10
2010-04-21,5230.30,5266.30,5230.30,5244.90
2010-04-22,5248.60,5331.80,5221.10,5269.35
2010-04-23,5269.65,5311.05,5269.65,5304.10
2010-04-26,5299.35,5342.35,5299.35,5322.45
2010-04-27,5322.10,5330.55,5301.40,5308.35
2010-04-28,5308.20,5308.25,5202.45,5215.45
