Date,open,high,low,close,Adj Close,Volume
2013-01-22,6080.15,6101.3,6040.5,6048.5,6048.5,129000
2013-01-23,6052.85,6069.8,6021.15,6054.3,6054.3,137000
2013-01-24,6046.2,6065.3,6007.85,6019.35,6019.35,185200
2013-01-25,6024.5,6080.55,6014.45,6074.65,6074.65,147600
2013-01-28,6082.1,6088.4,6061.4,6074.8,6074.8,113100
2013-01-29,6064.7,6111.8,6042.45,6049.9,6049.9,157600
2013-01-30,6065,6071.95,6044.15,6055.75,6055.75,124200
2013-01-31,6045.65,6058.05,6025.15,6034.75,6034.75,168500
2013-02-01,6040.95,6052.95,5983.2,5998.9,5998.9,159300
2013-02-04,6025.2,6038.5,5981.25,5987.25,5987.25,141700
2013-02-05,5948.2,5970.35,5946.9,5956.9,5956.9,136200
2013-02-06,5988.05,5990.9,5953.15,5959.2,5959.2,157800
2013-02-07,5936.45,5978.5,5927.6,5938.8,5938.8,157600
2013-02-08,5929.1,5953.7,5883.65,5903.5,5903.5,192600
2013-02-11,5920.05,5924.15,5879.1,5897.85,5897.85,122000
2013-02-12,5894.35,5927.65,5886.45,5922.5,5922.5,142800
2013-02-13,5943.15,5969.5,5922.95,5932.95,5932.95,142600
2013-02-14,5933.2,5940.2,5884.55,5896.95,5896.95,143800
2013-02-15,5869.95,5899.95,5853.9,5887.4,5887.4,125100
2013-02-18,5888.65,5911,5878.45,5898.2,5898.2,114300
2013-02-19,5900.2,5947.55,5883.15,5939.7,5939.7,101000
2013-02-20,5966.3,5971,5937.55,5943.05,5943.05,135400
2013-02-21,5909.65,5921.15,5844.4,5852.25,5852.25,159400
2013-02-22,5837.95,5873.8,5835.8,5850.3,5850.3,157000
2013-02-25,5870.55,5878.4,5825,5854.75,5854.75,125100
2013-02-26,5838.3,5838.85,5748.6,5761.35,5761.35,157400
2013-02-27,5784.9,5818.2,5749.7,5796.9,5796.9,175200
2013-02-28,5834.35,5849.9,5671.9,5693.05,5693.05,334900
2013-03-01,5702.45,5739.45,5679.9,5719.7,5719.7,174500
2013-03-04,5704.7,5712,5663.6,5698.5,5698.5,144900
2013-03-05,5722.45,5790.1,5722.4,5784.25,5784.25,154400
